Model,mAP@50 (test),mAP@50:95 (test),FPS,Inference (ms),Training Time (min)
Faster R-CNN,0.9066043743429829,0.5324565760755461,5.093640484860883,196.3232393358268,120.21441592772801
RetinaNet,0.8924688105925013,0.5056813964066975,7.8992604327505616,126.59412973067342,85.86453846295674
