epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1193.97,1.19305,0.7601,1.11075,0.95284,0.98507,0.98471,0.5495,1.469,0.7343,1.24166,0.0011882,0.0011882,0.0011882
43,1219.54,1.1671,0.74144,1.11937,0.92626,0.95522,0.97091,0.57052,1.42826,0.72165,1.22275,0.0011684,0.0011684,0.0011684
44,1244.83,1.1185,0.72268,1.07615,0.93933,0.92428,0.96875,0.5447,1.45224,0.80907,1.23387,0.0011486,0.0011486,0.0011486
45,1269.6,1.15157,0.70761,1.09637,0.95269,0.92537,0.96331,0.56231,1.38277,0.75522,1.20616,0.0011288,0.0011288,0.0011288
46,1295.37,1.12212,0.70542,1.08335,0.95957,0.89552,0.958,0.57362,1.40346,0.8217,1.23372,0.001109,0.001109,0.001109
47,1322.54,1.08257,0.66099,1.06004,0.94254,0.89552,0.95732,0.57122,1.40101,0.74521,1.22189,0.0010892,0.0010892,0.0010892
48,1351.93,1.1062,0.68382,1.10759,0.95446,0.92537,0.97923,0.59407,1.33063,0.64851,1.17053,0.0010694,0.0010694,0.0010694
49,1379.16,1.09671,0.69077,1.07765,0.93965,0.9403,0.96559,0.57845,1.36954,0.70527,1.20576,0.0010496,0.0010496,0.0010496
50,1406.25,1.07506,0.66555,1.07499,0.96438,0.9403,0.97133,0.57331,1.37703,0.73899,1.22884,0.0010298,0.0010298,0.0010298
51,1434.94,1.06747,0.65494,1.08321,0.904,0.91045,0.92609,0.55536,1.43512,0.72129,1.26364,0.00101,0.00101,0.00101
52,1460.21,1.07062,0.64766,1.0655,0.90797,0.92537,0.93654,0.54172,1.42775,0.71821,1.23717,0.0009902,0.0009902,0.0009902
53,1487.49,1.07207,0.65431,1.08083,0.94336,0.9403,0.97133,0.56499,1.43766,0.69499,1.23528,0.0009704,0.0009704,0.0009704
54,1514.21,1.09004,0.64845,1.06623,0.93672,0.92537,0.96975,0.55995,1.41731,0.70619,1.24575,0.0009506,0.0009506,0.0009506
55,1544.02,1.06846,0.64547,1.06711,0.92869,0.89552,0.93653,0.54583,1.44496,0.72904,1.25517,0.0009308,0.0009308,0.0009308
56,1569.4,1.05615,0.6183,1.07515,0.93449,0.91045,0.96417,0.55111,1.47018,0.70179,1.22181,0.000911,0.000911,0.000911
57,1594.92,1.06243,0.63903,1.07242,0.96919,0.93904,0.96661,0.53633,1.50398,0.69568,1.24045,0.0008912,0.0008912,0.0008912
58,1620.6,1.04944,0.61727,1.05616,0.92455,0.91457,0.95483,0.56389,1.47657,0.69677,1.23352,0.0008714,0.0008714,0.0008714
59,1647.98,1.00725,0.62017,1.03727,0.96685,0.87067,0.93931,0.57204,1.42923,0.702,1.23249,0.0008516,0.0008516,0.0008516
60,1673.87,1.04782,0.62807,1.06213,0.96752,0.88922,0.96068,0.56145,1.39657,0.68475,1.22232,0.0008318,0.0008318,0.0008318
61,1701.62,1.02235,0.61099,1.05134,0.93987,0.93327,0.96243,0.59097,1.37408,0.70966,1.22337,0.000812,0.000812,0.000812
