Model,mAP50,mAP5095,Precision,Recall,FPS,Inference_ms,Train_min,Weights_MB
YOLOv8n,0.936367450204332,0.560557661655166,0.9416811637249124,0.897111181240589,25.298270031588007,39.52839458000001,,6.3
YOLOv8s,0.9010927562985622,0.5314734279964448,0.8884285895576068,0.8611111111111112,21.425601494333886,46.67313542,,22.5
Faster R-CNN,0.9066043743429828,0.5324565760755461,,,5.093640484860883,196.3232393358268,120.214415927728,173.4
RetinaNet,0.8924688105925013,0.5056813964066975,,,7.8992604327505616,126.59412973067342,85.86453846295674,145.7
