epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2928.83,1.19933,0.719,1.16044,0.96948,0.94829,0.97161,0.5777,1.38267,0.70371,1.25432,0.0011882,0.0011882,0.0011882
43,3012.26,1.16424,0.70047,1.14258,0.90724,0.87589,0.92678,0.56119,1.46246,0.70886,1.28116,0.0011684,0.0011684,0.0011684
44,3099.93,1.16237,0.67322,1.12566,0.92148,0.87589,0.92701,0.52807,1.50545,0.78447,1.28275,0.0011486,0.0011486,0.0011486
45,3215.13,1.15056,0.69446,1.15013,0.89363,0.87781,0.92312,0.55265,1.44415,0.71423,1.26167,0.0011288,0.0011288,0.0011288
46,3330.68,1.074,0.62773,1.10828,0.92975,0.8209,0.89525,0.49786,1.55555,0.80851,1.289,0.001109,0.001109,0.001109
47,3417.35,1.11188,0.65986,1.11648,0.93477,0.91045,0.94462,0.55346,1.46773,0.76792,1.27085,0.0010892,0.0010892,0.0010892
48,3498.39,1.12521,0.67181,1.13939,0.95104,0.95522,0.94509,0.56261,1.45694,0.69971,1.28471,0.0010694,0.0010694,0.0010694
49,3585.99,1.14045,0.6739,1.13694,0.95431,0.93531,0.97127,0.57155,1.43059,0.71311,1.26193,0.0010496,0.0010496,0.0010496
50,3662.76,1.12814,0.65642,1.10656,0.95662,0.97015,0.96868,0.58808,1.41367,0.73143,1.267,0.0010298,0.0010298,0.0010298
51,3739.71,1.0803,0.62633,1.09003,0.92194,0.9403,0.93895,0.54781,1.46892,0.70509,1.28772,0.00101,0.00101,0.00101
52,3814.7,1.07078,0.63212,1.11901,0.96726,0.92537,0.94034,0.55659,1.4151,0.67745,1.29067,0.0009902,0.0009902,0.0009902
53,3891.05,1.10179,0.6228,1.13483,0.93918,0.9403,0.94708,0.60379,1.34919,0.66723,1.26401,0.0009704,0.0009704,0.0009704
54,3971.7,1.12395,0.62528,1.14579,0.93703,0.92537,0.93828,0.60672,1.31819,0.64907,1.24575,0.0009506,0.0009506,0.0009506
55,4057.92,1.08618,0.61192,1.07876,0.95116,0.9403,0.93147,0.5605,1.44189,0.65672,1.26952,0.0009308,0.0009308,0.0009308
56,4130.84,1.07341,0.61981,1.09628,0.95105,0.95522,0.95713,0.56834,1.45153,0.65286,1.26042,0.000911,0.000911,0.000911
57,4203.83,1.04687,0.59667,1.08199,0.92418,0.92537,0.93546,0.55414,1.43435,0.70275,1.26742,0.0008912,0.0008912,0.0008912
58,4274.02,1.07471,0.61081,1.10241,0.96564,0.9403,0.97004,0.55264,1.45659,0.72634,1.29781,0.0008714,0.0008714,0.0008714
59,4343.78,1.06967,0.64133,1.0784,0.97358,0.92537,0.97254,0.57442,1.3983,0.65809,1.27182,0.0008516,0.0008516,0.0008516
60,4415.83,1.04162,0.62711,1.08551,0.92724,0.92537,0.95393,0.58353,1.3842,0.68068,1.29275,0.0008318,0.0008318,0.0008318
61,4485.51,1.03215,0.62103,1.0939,0.94167,0.92537,0.95743,0.59341,1.34669,0.6485,1.26858,0.000812,0.000812,0.000812
62,4560.24,1.06991,0.60352,1.0838,0.95478,0.95522,0.96571,0.59034,1.37038,0.65801,1.2568,0.0007922,0.0007922,0.0007922
63,4631.94,1.0669,0.6066,1.1027,0.92404,0.9403,0.95816,0.60633,1.38706,0.65416,1.2636,0.0007724,0.0007724,0.0007724
64,4706.23,1.01034,0.58446,1.07203,0.94839,0.91045,0.94535,0.59093,1.40667,0.66888,1.261,0.0007526,0.0007526,0.0007526
65,4776.22,1.02048,0.55966,1.0631,0.95522,0.9552,0.97417,0.58797,1.39452,0.69159,1.25833,0.0007328,0.0007328,0.0007328
66,4850,1.00108,0.58992,1.06233,0.95437,0.93647,0.9552,0.57173,1.43996,0.69565,1.27454,0.000713,0.000713,0.000713
67,4925.61,0.97176,0.57848,1.06644,0.97002,0.96604,0.97977,0.59196,1.43448,0.67765,1.28377,0.0006932,0.0006932,0.0006932
68,5002.78,0.96383,0.53536,1.04985,0.97011,0.96872,0.98064,0.58465,1.40705,0.64266,1.28319,0.0006734,0.0006734,0.0006734
69,5080.06,0.98117,0.54818,1.06672,0.95508,0.95205,0.95873,0.59034,1.42104,0.63839,1.27656,0.0006536,0.0006536,0.0006536
70,5148.21,0.99945,0.57042,1.09215,0.96961,0.95238,0.97721,0.59036,1.43966,0.66433,1.27009,0.0006338,0.0006338,0.0006338
71,5217.4,0.9244,0.52804,1.05696,0.95503,0.95098,0.95666,0.58656,1.39399,0.63753,1.26607,0.000614,0.000614,0.000614
72,5288.79,0.91451,0.51895,1.04293,0.94754,0.92537,0.94476,0.57611,1.41106,0.6547,1.27117,0.0005942,0.0005942,0.0005942
73,5353.08,0.95027,0.52933,1.04058,0.94798,0.91045,0.9401,0.56881,1.46016,0.66785,1.2794,0.0005744,0.0005744,0.0005744
74,5418.28,0.90805,0.54099,1.0321,0.93656,0.9403,0.95928,0.57733,1.43304,0.65228,1.27122,0.0005546,0.0005546,0.0005546
