Model,mAP@50,mAP@50:95,Precision,Recall,Weights (MB)
YOLOv8n,0.9363674502043319,0.560557661655166,0.9416811637249125,0.897111181240589,6.3
YOLOv8s,0.9010927562985622,0.5314734279964448,0.8884285895576068,0.8611111111111112,22.5
